filepath, plane, class
data/classifier/train/0004.npz, 17, 2
data/classifier/train/0004.npz, 18, 2
data/classifier/train/0005.npz, 0, 4
data/classifier/train/0005.npz, 1, 4
data/classifier/train/0005.npz, 2, 4
data/classifier/train/0005.npz, 3, 4
data/classifier/train/0005.npz, 4, 4
data/classifier/train/0005.npz, 5, 4
data/classifier/train/0005.npz, 6, 4
data/classifier/train/0005.npz, 7, 4
data/classifier/train/0005.npz, 8, 4
data/classifier/train/0005.npz, 9, 4
data/classifier/train/0005.npz, 10, 4
data/classifier/train/0005.npz, 11, 4
data/classifier/train/0005.npz, 12, 4
data/classifier/train/0005.npz, 13, 4
data/classifier/train/0005.npz, 14, 4
data/classifier/train/0006.npz, 0, 4
data/classifier/train/0006.npz, 1, 4
data/classifier/train/0006.npz, 2, 4
data/classifier/train/0006.npz, 3, 4
data/classifier/train/0006.npz, 4, 4
data/classifier/train/0006.npz, 5, 4
data/classifier/train/0006.npz, 6, 4
data/classifier/train/0006.npz, 7, 4
data/classifier/train/0006.npz, 8, 4
data/classifier/train/0006.npz, 9, 4
data/classifier/train/0006.npz, 10, 4
data/classifier/train/0006.npz, 11, 4
data/classifier/train/0006.npz, 12, 4
data/classifier/train/0006.npz, 13, 4
data/classifier/train/0006.npz, 14, 4
data/classifier/train/0007.npz, 0, 3
data/classifier/train/0007.npz, 1, 3
data/classifier/train/0007.npz, 2, 3
data/classifier/train/0007.npz, 3, 3
data/classifier/train/0007.npz, 4, 3
data/classifier/train/0007.npz, 5, 3
data/classifier/train/0007.npz, 6, 3
data/classifier/train/0007.npz, 7, 3
data/classifier/train/0007.npz, 8, 3
data/classifier/train/0007.npz, 9, 3
data/classifier/train/0007.npz, 10, 3
data/classifier/train/0007.npz, 11, 3
data/classifier/train/0007.npz, 12, 3
data/classifier/train/0007.npz, 13, 3
data/classifier/train/0007.npz, 14, 3
data/classifier/train/0007.npz, 15, 3
data/classifier/train/0007.npz, 16, 3
data/classifier/train/0007.npz, 17, 3
data/classifier/train/0007.npz, 18, 3
data/classifier/train/0007.npz, 19, 3
data/classifier/train/0007.npz, 20, 3
data/classifier/train/0007.npz, 21, 3
data/classifier/train/0007.npz, 22, 3
data/classifier/train/0008.npz, 0, 0
data/classifier/train/0008.npz, 1, 0
data/classifier/train/0008.npz, 2, 0
data/classifier/train/0008.npz, 3, 0
data/classifier/train/0008.npz, 4, 0
data/classifier/train/0008.npz, 5, 0
data/classifier/train/0008.npz, 6, 0
data/classifier/train/0008.npz, 7, 0
data/classifier/train/0008.npz, 8, 0
data/classifier/train/0008.npz, 9, 0
data/classifier/train/0008.npz, 10, 0
data/classifier/train/0008.npz, 11, 0
data/classifier/train/0008.npz, 12, 0
data/classifier/train/0008.npz, 13, 0
data/classifier/train/0008.npz, 14, 0
data/classifier/train/0008.npz, 15, 0
data/classifier/train/0008.npz, 16, 0
data/classifier/train/0009.npz, 0, 4
data/classifier/train/0009.npz, 1, 4
data/classifier/train/0009.npz, 2, 4
data/classifier/train/0009.npz, 3, 4
data/classifier/train/0009.npz, 4, 4
data/classifier/train/0009.npz, 5, 4
data/classifier/train/0009.npz, 6, 4
data/classifier/train/0009.npz, 7, 4
data/classifier/train/0009.npz, 8, 4
data/classifier/train/0009.npz, 9, 4
data/classifier/train/0009.npz, 10, 4
data/classifier/train/0009.npz, 11, 4
data/classifier/train/0009.npz, 12, 4
data/classifier/train/0009.npz, 13, 4
data/classifier/train/0009.npz, 14, 4
data/classifier/train/0010.npz, 0, 2
data/classifier/train/0010.npz, 1, 2
data/classifier/train/0010.npz, 2, 2
data/classifier/train/0010.npz, 3, 2
data/classifier/train/0010.npz, 4, 2
data/classifier/train/0010.npz, 5, 2
data/classifier/train/0010.npz, 6, 2
data/classifier/train/0010.npz, 7, 2
data/classifier/train/0010.npz, 8, 2
data/classifier/train/0010.npz, 9, 2
data/classifier/train/0010.npz, 10, 2
data/classifier/train/0010.npz, 11, 2
data/classifier/train/0010.npz, 12, 2
data/classifier/train/0010.npz, 13, 2
data/classifier/train/0010.npz, 14, 2
data/classifier/train/0011.npz, 0, 4
data/classifier/train/0011.npz, 1, 4
data/classifier/train/0011.npz, 2, 4
data/classifier/train/0011.npz, 3, 4
data/classifier/train/0011.npz, 4, 4
data/classifier/train/0011.npz, 5, 4
data/classifier/train/0011.npz, 6, 4
data/classifier/train/0011.npz, 7, 4
data/classifier/train/0011.npz, 8, 4
data/classifier/train/0011.npz, 9, 4
data/classifier/train/0011.npz, 10, 4
data/classifier/train/0011.npz, 11, 4
data/classifier/train/0011.npz, 12, 4
data/classifier/train/0011.npz, 13, 4
data/classifier/train/0011.npz, 14, 4
data/classifier/train/0012.npz, 0, 0
data/classifier/train/0012.npz, 1, 0
data/classifier/train/0012.npz, 2, 0
data/classifier/train/0012.npz, 3, 0
data/classifier/train/0012.npz, 4, 0
data/classifier/train/0012.npz, 5, 0
data/classifier/train/0012.npz, 6, 0
data/classifier/train/0012.npz, 7, 0
data/classifier/train/0012.npz, 8, 0
data/classifier/train/0012.npz, 9, 0
data/classifier/train/0012.npz, 10, 0
data/classifier/train/0012.npz, 11, 0
data/classifier/train/0012.npz, 12, 0
data/classifier/train/0013.npz, 0, 4
data/classifier/train/0013.npz, 1, 4
data/classifier/train/0013.npz, 2, 4
data/classifier/train/0013.npz, 3, 4
data/classifier/train/0013.npz, 4, 4
data/classifier/train/0013.npz, 5, 4
data/classifier/train/0013.npz, 6, 4
data/classifier/train/0013.npz, 7, 4
data/classifier/train/0013.npz, 8, 4
data/classifier/train/0013.npz, 9, 4
data/classifier/train/0013.npz, 10, 4
data/classifier/train/0013.npz, 11, 4
data/classifier/train/0013.npz, 12, 4
data/classifier/train/0013.npz, 13, 4
data/classifier/train/0013.npz, 14, 4
data/classifier/train/0014.npz, 0, 0
data/classifier/train/0014.npz, 1, 0
data/classifier/train/0014.npz, 2, 0
data/classifier/train/0014.npz, 3, 0
data/classifier/train/0014.npz, 4, 0
data/classifier/train/0014.npz, 5, 0
data/classifier/train/0014.npz, 6, 0
data/classifier/train/0014.npz, 7, 0
data/classifier/train/0014.npz, 8, 0
data/classifier/train/0014.npz, 9, 0
data/classifier/train/0014.npz, 10, 0
data/classifier/train/0014.npz, 11, 0
data/classifier/train/0014.npz, 12, 0
data/classifier/train/0014.npz, 13, 0
data/classifier/train/0014.npz, 14, 0
data/classifier/train/0014.npz, 15, 0
data/classifier/train/0014.npz, 16, 0
data/classifier/train/0014.npz, 17, 0
data/classifier/train/0014.npz, 18, 0
data/classifier/train/0014.npz, 19, 0
data/classifier/train/0014.npz, 20, 0
data/classifier/train/0014.npz, 21, 0
data/classifier/train/0014.npz, 22, 0
data/classifier/train/0014.npz, 23, 0
data/classifier/train/0014.npz, 24, 0
data/classifier/train/0015.npz, 0, 0
data/classifier/train/0015.npz, 1, 0
data/classifier/train/0015.npz, 2, 0
data/classifier/train/0015.npz, 3, 0
data/classifier/train/0015.npz, 4, 0
data/classifier/train/0015.npz, 5, 0
data/classifier/train/0015.npz, 6, 0
data/classifier/train/0015.npz, 7, 0
data/classifier/train/0015.npz, 8, 0
data/classifier/train/0015.npz, 9, 0
data/classifier/train/0015.npz, 10, 0
data/classifier/train/0015.npz, 11, 0
data/classifier/train/0015.npz, 12, 0
data/classifier/train/0015.npz, 13, 0
data/classifier/train/0015.npz, 14, 0
data/classifier/train/0015.npz, 15, 0
data/classifier/train/0015.npz, 16, 0
data/classifier/train/0015.npz, 17, 0
data/classifier/train/0015.npz, 18, 0
data/classifier/train/0016.npz, 0, 4
data/classifier/train/0016.npz, 1, 4
data/classifier/train/0016.npz, 2, 4
data/classifier/train/0016.npz, 3, 4
data/classifier/train/0016.npz, 4, 4
data/classifier/train/0016.npz, 5, 4
data/classifier/train/0016.npz, 6, 4
data/classifier/train/0016.npz, 7, 4
data/classifier/train/0016.npz, 8, 4
data/classifier/train/0016.npz, 9, 4
data/classifier/train/0016.npz, 10, 4
data/classifier/train/0016.npz, 11, 4
data/classifier/train/0016.npz, 12, 4
data/classifier/train/0016.npz, 13, 4
data/classifier/train/0016.npz, 14, 4
data/classifier/train/0017.npz, 0, 4
data/classifier/train/0017.npz, 1, 4
data/classifier/train/0017.npz, 2, 4
data/classifier/train/0017.npz, 3, 4
data/classifier/train/0017.npz, 4, 4
data/classifier/train/0017.npz, 5, 4
data/classifier/train/0017.npz, 6, 4
data/classifier/train/0017.npz, 7, 4
data/classifier/train/0017.npz, 8, 4
data/classifier/train/0017.npz, 9, 4
data/classifier/train/0017.npz, 10, 4
data/classifier/train/0017.npz, 11, 4
data/classifier/train/0017.npz, 12, 4
data/classifier/train/0017.npz, 13, 4
data/classifier/train/0017.npz, 14, 4
data/classifier/train/0018.npz, 0, 2
data/classifier/train/0018.npz, 1, 2
data/classifier/train/0018.npz, 2, 2
data/classifier/train/0018.npz, 3, 2
data/classifier/train/0018.npz, 4, 2
data/classifier/train/0018.npz, 5, 2
data/classifier/train/0018.npz, 6, 2
data/classifier/train/0018.npz, 7, 2
data/classifier/train/0018.npz, 8, 2
data/classifier/train/0018.npz, 9, 2
data/classifier/train/0018.npz, 10, 2
data/classifier/train/0018.npz, 11, 2
data/classifier/train/0018.npz, 12, 2
data/classifier/train/0018.npz, 13, 2
data/classifier/train/0018.npz, 14, 2
data/classifier/train/0018.npz, 15, 2
data/classifier/train/0018.npz, 16, 2
data/classifier/train/0019.npz, 0, 4
data/classifier/train/0019.npz, 1, 4
data/classifier/train/0019.npz, 2, 4
data/classifier/train/0019.npz, 3, 4
data/classifier/train/0019.npz, 4, 4
data/classifier/train/0019.npz, 5, 4
data/classifier/train/0019.npz, 6, 4
data/classifier/train/0019.npz, 7, 4
data/classifier/train/0019.npz, 8, 4
data/classifier/train/0019.npz, 9, 4
data/classifier/train/0019.npz, 10, 4
data/classifier/train/0019.npz, 11, 4
data/classifier/train/0019.npz, 12, 4
data/classifier/train/0019.npz, 13, 4
data/classifier/train/0019.npz, 14, 4
data/classifier/train/0020.npz, 0, 4
data/classifier/train/0020.npz, 1, 4
data/classifier/train/0020.npz, 2, 4
data/classifier/train/0020.npz, 3, 4
data/classifier/train/0020.npz, 4, 4
data/classifier/train/0020.npz, 5, 4
data/classifier/train/0020.npz, 6, 4
data/classifier/train/0020.npz, 7, 4
data/classifier/train/0020.npz, 8, 4
data/classifier/train/0020.npz, 9, 4
data/classifier/train/0020.npz, 10, 4
data/classifier/train/0020.npz, 11, 4
data/classifier/train/0020.npz, 12, 4
data/classifier/train/0020.npz, 13, 4
data/classifier/train/0020.npz, 14, 4
data/classifier/train/0021.npz, 0, 4
data/classifier/train/0021.npz, 1, 4
data/classifier/train/0021.npz, 2, 4
data/classifier/train/0021.npz, 3, 4
data/classifier/train/0021.npz, 4, 4
data/classifier/train/0021.npz, 5, 4
data/classifier/train/0021.npz, 6, 4
data/classifier/train/0021.npz, 7, 4
data/classifier/train/0021.npz, 8, 4
data/classifier/train/0021.npz, 9, 4
data/classifier/train/0021.npz, 10, 4
data/classifier/train/0021.npz, 11, 4
data/classifier/train/0021.npz, 12, 4
data/classifier/train/0021.npz, 13, 4
data/classifier/train/0021.npz, 14, 4
data/classifier/train/0022.npz, 0, 4
data/classifier/train/0022.npz, 1, 4
data/classifier/train/0022.npz, 2, 4
data/classifier/train/0022.npz, 3, 4
data/classifier/train/0022.npz, 4, 4
data/classifier/train/0022.npz, 5, 4
data/classifier/train/0022.npz, 6, 4
data/classifier/train/0022.npz, 7, 4
data/classifier/train/0022.npz, 8, 4
data/classifier/train/0022.npz, 9, 4
data/classifier/train/0022.npz, 10, 4
data/classifier/train/0022.npz, 11, 4
data/classifier/train/0022.npz, 12, 4
data/classifier/train/0022.npz, 13, 4
data/classifier/train/0022.npz, 14, 4
data/classifier/train/0023.npz, 0, 4
data/classifier/train/0023.npz, 1, 4
data/classifier/train/0023.npz, 2, 4
data/classifier/train/0023.npz, 3, 4
data/classifier/train/0023.npz, 4, 4
data/classifier/train/0023.npz, 5, 4
data/classifier/train/0023.npz, 6, 4
data/classifier/train/0023.npz, 7, 4
data/classifier/train/0023.npz, 8, 4
data/classifier/train/0023.npz, 9, 4
data/classifier/train/0023.npz, 10, 4
data/classifier/train/0023.npz, 11, 4
data/classifier/train/0023.npz, 12, 4
data/classifier/train/0023.npz, 13, 4
data/classifier/train/0023.npz, 14, 4
data/classifier/train/0024.npz, 0, 2
data/classifier/train/0024.npz, 1, 2
data/classifier/train/0024.npz, 2, 2
data/classifier/train/0024.npz, 3, 2
data/classifier/train/0024.npz, 4, 2
data/classifier/train/0024.npz, 5, 2
data/classifier/train/0024.npz, 6, 2
data/classifier/train/0024.npz, 7, 2
data/classifier/train/0024.npz, 8, 2
data/classifier/train/0024.npz, 9, 2
data/classifier/train/0024.npz, 10, 2
data/classifier/train/0024.npz, 11, 2
data/classifier/train/0024.npz, 12, 2
data/classifier/train/0024.npz, 13, 2
data/classifier/train/0024.npz, 14, 2
data/classifier/train/0024.npz, 15, 2
data/classifier/train/0024.npz, 16, 2
data/classifier/train/0024.npz, 17, 2
data/classifier/train/0024.npz, 18, 2
data/classifier/train/0024.npz, 19, 2
data/classifier/train/0024.npz, 20, 2
data/classifier/train/0024.npz, 21, 2
data/classifier/train/0024.npz, 22, 2
data/classifier/train/0025.npz, 0, 1
data/classifier/train/0025.npz, 1, 1
data/classifier/train/0025.npz, 2, 1
data/classifier/train/0025.npz, 3, 1
data/classifier/train/0025.npz, 4, 1
data/classifier/train/0025.npz, 5, 1
data/classifier/train/0025.npz, 6, 1
data/classifier/train/0025.npz, 7, 1
data/classifier/train/0025.npz, 8, 1
data/classifier/train/0025.npz, 9, 1
data/classifier/train/0025.npz, 10, 1
data/classifier/train/0025.npz, 11, 1
data/classifier/train/0025.npz, 12, 1
data/classifier/train/0025.npz, 13, 1
data/classifier/train/0025.npz, 14, 1
data/classifier/train/0025.npz, 15, 1
data/classifier/train/0025.npz, 16, 1
data/classifier/train/0025.npz, 17, 1
data/classifier/train/0025.npz, 18, 1
data/classifier/train/0026.npz, 0, 4
data/classifier/train/0026.npz, 1, 4
data/classifier/train/0026.npz, 2, 4
data/classifier/train/0026.npz, 3, 4
data/classifier/train/0026.npz, 4, 4
data/classifier/train/0026.npz, 5, 4
data/classifier/train/0026.npz, 6, 4
data/classifier/train/0026.npz, 7, 4
data/classifier/train/0026.npz, 8, 4
data/classifier/train/0026.npz, 9, 4
data/classifier/train/0026.npz, 10, 4
data/classifier/train/0026.npz, 11, 4
data/classifier/train/0026.npz, 12, 4
data/classifier/train/0026.npz, 13, 4
data/classifier/train/0026.npz, 14, 4
data/classifier/train/0027.npz, 0, 3
data/classifier/train/0027.npz, 1, 3
data/classifier/train/0027.npz, 2, 3
data/classifier/train/0027.npz, 3, 3
data/classifier/train/0027.npz, 4, 3
data/classifier/train/0027.npz, 5, 3
data/classifier/train/0027.npz, 6, 3
data/classifier/train/0027.npz, 7, 3
data/classifier/train/0027.npz, 8, 3
data/classifier/train/0027.npz, 9, 3
data/classifier/train/0027.npz, 10, 3
data/classifier/train/0027.npz, 11, 3
data/classifier/train/0027.npz, 12, 3
data/classifier/train/0027.npz, 13, 3
data/classifier/train/0027.npz, 14, 3
data/classifier/train/0027.npz, 15, 3
data/classifier/train/0027.npz, 16, 3
data/classifier/train/0027.npz, 17, 3
data/classifier/train/0027.npz, 18, 3
data/classifier/train/0027.npz, 19, 3
data/classifier/train/0027.npz, 20, 3
data/classifier/train/0027.npz, 21, 3
data/classifier/train/0027.npz, 22, 3
data/classifier/train/0028.npz, 0, 2
data/classifier/train/0028.npz, 1, 2
data/classifier/train/0028.npz, 2, 2
data/classifier/train/0028.npz, 3, 2
data/classifier/train/0028.npz, 4, 2
data/classifier/train/0028.npz, 5, 2
data/classifier/train/0028.npz, 6, 2
data/classifier/train/0028.npz, 7, 2
data/classifier/train/0028.npz, 8, 2
data/classifier/train/0028.npz, 9, 2
data/classifier/train/0028.npz, 10, 2
data/classifier/train/0028.npz, 11, 2
data/classifier/train/0028.npz, 12, 2
data/classifier/train/0028.npz, 13, 2
data/classifier/train/0028.npz, 14, 2
data/classifier/train/0028.npz, 15, 2
data/classifier/train/0028.npz, 16, 2
data/classifier/train/0028.npz, 17, 2
data/classifier/train/0028.npz, 18, 2
data/classifier/train/0028.npz, 19, 2
data/classifier/train/0028.npz, 20, 2
data/classifier/train/0028.npz, 21, 2
data/classifier/train/0028.npz, 22, 2
data/classifier/train/0028.npz, 23, 2
data/classifier/train/0028.npz, 24, 2
data/classifier/train/0028.npz, 25, 2
data/classifier/train/0028.npz, 26, 2
data/classifier/train/0028.npz, 27, 2
data/classifier/train/0028.npz, 28, 2
data/classifier/train/0028.npz, 29, 2
data/classifier/train/0028.npz, 30, 2
data/classifier/train/0028.npz, 31, 2
data/classifier/train/0028.npz, 32, 2
data/classifier/train/0028.npz, 33, 2
data/classifier/train/0028.npz, 34, 2
data/classifier/train/0028.npz, 35, 2
data/classifier/train/0028.npz, 36, 2
data/classifier/train/0028.npz, 37, 2
data/classifier/train/0028.npz, 38, 2
data/classifier/train/0028.npz, 39, 2
data/classifier/train/0028.npz, 40, 2
data/classifier/train/0028.npz, 41, 2
data/classifier/train/0028.npz, 42, 2
data/classifier/train/0028.npz, 43, 2
data/classifier/train/0029.npz, 0, 4
data/classifier/train/0029.npz, 1, 4
data/classifier/train/0029.npz, 2, 4
data/classifier/train/0029.npz, 3, 4
data/classifier/train/0029.npz, 4, 4
data/classifier/train/0029.npz, 5, 4
data/classifier/train/0029.npz, 6, 4
data/classifier/train/0029.npz, 7, 4
data/classifier/train/0029.npz, 8, 4
data/classifier/train/0029.npz, 9, 4
data/classifier/train/0029.npz, 10, 4
data/classifier/train/0029.npz, 11, 4
data/classifier/train/0029.npz, 12, 4
data/classifier/train/0029.npz, 13, 4
data/classifier/train/0029.npz, 14, 4
data/classifier/train/0030.npz, 0, 1
data/classifier/train/0030.npz, 1, 1
data/classifier/train/0030.npz, 2, 1
data/classifier/train/0030.npz, 3, 1
data/classifier/train/0030.npz, 4, 1
data/classifier/train/0030.npz, 5, 1
data/classifier/train/0030.npz, 6, 1
data/classifier/train/0030.npz, 7, 1
data/classifier/train/0030.npz, 8, 1
data/classifier/train/0030.npz, 9, 1
data/classifier/train/0030.npz, 10, 1
data/classifier/train/0030.npz, 11, 1
data/classifier/train/0030.npz, 12, 1
data/classifier/train/0030.npz, 13, 1
data/classifier/train/0030.npz, 14, 1
data/classifier/train/0030.npz, 15, 1
data/classifier/train/0031.npz, 0, 4
data/classifier/train/0031.npz, 1, 4
data/classifier/train/0031.npz, 2, 4
data/classifier/train/0031.npz, 3, 4
data/classifier/train/0031.npz, 4, 4
data/classifier/train/0031.npz, 5, 4
data/classifier/train/0031.npz, 6, 4
data/classifier/train/0031.npz, 7, 4
data/classifier/train/0031.npz, 8, 4
data/classifier/train/0031.npz, 9, 4
data/classifier/train/0031.npz, 10, 4
data/classifier/train/0031.npz, 11, 4
data/classifier/train/0031.npz, 12, 4
data/classifier/train/0031.npz, 13, 4
data/classifier/train/0031.npz, 14, 4
data/classifier/train/0032.npz, 0, 4
data/classifier/train/0032.npz, 1, 4
data/classifier/train/0032.npz, 2, 4
data/classifier/train/0032.npz, 3, 4
data/classifier/train/0032.npz, 4, 4
data/classifier/train/0032.npz, 5, 4
data/classifier/train/0032.npz, 6, 4
data/classifier/train/0032.npz, 7, 4
data/classifier/train/0032.npz, 8, 4
data/classifier/train/0032.npz, 9, 4
data/classifier/train/0032.npz, 10, 4
data/classifier/train/0032.npz, 11, 4
data/classifier/train/0032.npz, 12, 4
data/classifier/train/0032.npz, 13, 4
data/classifier/train/0032.npz, 14, 4
data/classifier/train/0033.npz, 0, 3
data/classifier/train/0033.npz, 1, 3
data/classifier/train/0033.npz, 2, 3
data/classifier/train/0033.npz, 3, 3
data/classifier/train/0033.npz, 4, 3
data/classifier/train/0033.npz, 5, 3
data/classifier/train/0033.npz, 6, 3
data/classifier/train/0033.npz, 7, 3
data/classifier/train/0033.npz, 8, 3
data/classifier/train/0033.npz, 9, 3
data/classifier/train/0033.npz, 10, 3
data/classifier/train/0033.npz, 11, 3
data/classifier/train/0033.npz, 12, 3
data/classifier/train/0033.npz, 13, 3
data/classifier/train/0033.npz, 14, 3
data/classifier/train/0033.npz, 15, 3
data/classifier/train/0033.npz, 16, 3
data/classifier/train/0033.npz, 17, 3
data/classifier/train/0034.npz, 0, 4
data/classifier/train/0034.npz, 1, 4
data/classifier/train/0034.npz, 2, 4
data/classifier/train/0034.npz, 3, 4
data/classifier/train/0034.npz, 4, 4
data/classifier/train/0034.npz, 5, 4
data/classifier/train/0034.npz, 6, 4
data/classifier/train/0034.npz, 7, 4
data/classifier/train/0034.npz, 8, 4
data/classifier/train/0034.npz, 9, 4
data/classifier/train/0034.npz, 10, 4
data/classifier/train/0034.npz, 11, 4
data/classifier/train/0034.npz, 12, 4
data/classifier/train/0034.npz, 13, 4
data/classifier/train/0034.npz, 14, 4
data/classifier/train/0035.npz, 0, 4
data/classifier/train/0035.npz, 1, 4
data/classifier/train/0035.npz, 2, 4
data/classifier/train/0035.npz, 3, 4
data/classifier/train/0035.npz, 4, 4
data/classifier/train/0035.npz, 5, 4
data/classifier/train/0035.npz, 6, 4
data/classifier/train/0035.npz, 7, 4
data/classifier/train/0035.npz, 8, 4
data/classifier/train/0035.npz, 9, 4
data/classifier/train/0035.npz, 10, 4
data/classifier/train/0035.npz, 11, 4
data/classifier/train/0035.npz, 12, 4
data/classifier/train/0035.npz, 13, 4
data/classifier/train/0035.npz, 14, 4
data/classifier/train/0036.npz, 0, 4
data/classifier/train/0036.npz, 1, 4
data/classifier/train/0036.npz, 2, 4
data/classifier/train/0036.npz, 3, 4
data/classifier/train/0036.npz, 4, 4
data/classifier/train/0036.npz, 5, 4
data/classifier/train/0036.npz, 6, 4
data/classifier/train/0036.npz, 7, 4
data/classifier/train/0036.npz, 8, 4
data/classifier/train/0036.npz, 9, 4
data/classifier/train/0036.npz, 10, 4
data/classifier/train/0036.npz, 11, 4
data/classifier/train/0036.npz, 12, 4
data/classifier/train/0036.npz, 13, 4
data/classifier/train/0036.npz, 14, 4
data/classifier/train/0037.npz, 0, 4
data/classifier/train/0037.npz, 1, 4
data/classifier/train/0037.npz, 2, 4
data/classifier/train/0037.npz, 3, 4
data/classifier/train/0037.npz, 4, 4
data/classifier/train/0037.npz, 5, 4
data/classifier/train/0037.npz, 6, 4
data/classifier/train/0037.npz, 7, 4
data/classifier/train/0037.npz, 8, 4
data/classifier/train/0037.npz, 9, 4
data/classifier/train/0037.npz, 10, 4
data/classifier/train/0037.npz, 11, 4
data/classifier/train/0037.npz, 12, 4
data/classifier/train/0037.npz, 13, 4
data/classifier/train/0037.npz, 14, 4
data/classifier/train/0038.npz, 0, 3
data/classifier/train/0038.npz, 1, 3
data/classifier/train/0038.npz, 2, 3
data/classifier/train/0038.npz, 3, 3
data/classifier/train/0038.npz, 4, 3
data/classifier/train/0038.npz, 5, 3
data/classifier/train/0038.npz, 6, 3
data/classifier/train/0038.npz, 7, 3
data/classifier/train/0038.npz, 8, 3
data/classifier/train/0038.npz, 9, 3
data/classifier/train/0038.npz, 10, 3
data/classifier/train/0038.npz, 11, 3
data/classifier/train/0038.npz, 12, 3
data/classifier/train/0038.npz, 13, 3
data/classifier/train/0038.npz, 14, 3
data/classifier/train/0038.npz, 15, 3
data/classifier/train/0038.npz, 16, 3
data/classifier/train/0039.npz, 0, 4
data/classifier/train/0039.npz, 1, 4
data/classifier/train/0039.npz, 2, 4
data/classifier/train/0039.npz, 3, 4
data/classifier/train/0039.npz, 4, 4
data/classifier/train/0039.npz, 5, 4
data/classifier/train/0039.npz, 6, 4
data/classifier/train/0039.npz, 7, 4
data/classifier/train/0039.npz, 8, 4
data/classifier/train/0039.npz, 9, 4
data/classifier/train/0039.npz, 10, 4
data/classifier/train/0039.npz, 11, 4
data/classifier/train/0039.npz, 12, 4
data/classifier/train/0039.npz, 13, 4
data/classifier/train/0039.npz, 14, 4
data/classifier/train/0040.npz, 0, 2
data/classifier/train/0040.npz, 1, 2
data/classifier/train/0040.npz, 2, 2
data/classifier/train/0040.npz, 3, 2
data/classifier/train/0040.npz, 4, 2
data/classifier/train/0040.npz, 5, 2
data/classifier/train/0040.npz, 6, 2
data/classifier/train/0040.npz, 7, 2
data/classifier/train/0040.npz, 8, 2
data/classifier/train/0040.npz, 9, 2
